id,employee_id,position_id,created_at,updated_at
1,1,1,2022-04-28 04:00:00+00,2022-04-28 04:00:00+00
2,2,2,2022-04-28 04:00:00+00,2022-04-28 04:00:00+00
3,3,3,2022-04-28 04:00:00+00,2022-04-28 04:00:00+00
4,4,4,2022-04-28 04:00:00+00,2022-04-28 04:00:00+00
5,5,5,2022-04-28 04:00:00+00,2022-04-28 04:00:00+00
6,6,6,2022-04-28 04:00:00+00,2022-04-28 04:00:00+00
7,7,1,2022-04-28 04:00:00+00,2022-04-28 04:00:00+00
8,8,2,2022-04-28 04:00:00+00,2022-04-28 04:00:00+00
9,9,3,2022-04-28 04:00:00+00,2022-04-28 04:00:00+00
10,10,4,2022-04-28 04:00:00+00,2022-04-28 04:00:00+00
11,11,5,2022-04-28 04:00:00+00,2022-04-28 04:00:00+00
12,12,6,2022-04-28 04:00:00+00,2022-04-28 04:00:00+00
13,13,1,2022-04-28 04:00:00+00,2022-04-28 04:00:00+00
14,14,2,2022-04-28 04:00:00+00,2022-04-28 04:00:00+00
15,15,3,2022-04-28 04:00:00+00,2022-04-28 04:00:00+00
16,16,4,2022-04-28 04:00:00+00,2022-04-28 04:00:00+00
