id,service_name,service_description,service_remarks,service_duration,service_price,service_is_enabled,created_at,updated_at,service_category_id,service_sequence_no,created_by,updated_by
1,Gold Lift Treatment,,,120,580,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,2,1,15,15
2,Eyebrow Reshaping,,,15,12,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,3,1,15,15
3,Classic Pedi,,,0,38,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,8,1,15,15
4,Classic Gel Mani,,,0,48,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,8,2,15,15
5,Classic Gel Pedi,,,0,68,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,8,3,15,15
6,Eyebrow Touch Up,,,0,159,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,6,1,15,15
7,Fungus Treatment,,,0,108,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,15,1,15,15
8,Refreshing Facial Treatment,,,60,88,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,1,1,15,15
9,Eye Hot Mask,,,0,45,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,13,1,15,15
10,Face Soft Mask,,,0,38,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,13,2,15,15
11,Rejuvenating Treatment,,,120,168,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,2,2,15,15
12,Vello Treatment,,,120,168,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,2,3,15,15
13,Lenitive Treatment,,,120,178,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,2,3,15,15
14,Vitamin & Mineral Treatment,,,120,178,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,2,4,15,15
15,Advance Acne Treatment,,,120,178,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,2,5,15,15
16,Proteinase Repair Treatment,,,120,198,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,2,6,15,15
17,Biocell Treatment,,,120,298,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,2,7,15,15
18,Omega Firming Treatment,,,120,298,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,2,8,15,15
19,RF Facial Treatment,,,120,398,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,2,9,15,15
20,Cell Renewal Treatment,,,120,480,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,2,10,15,15
